"Step","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness__MIN","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness__MAX"
"322","200","200","200"
"323","200","200","200"
"324","200","200","200"
"325","200","200","200"
"326","200","200","200"
"327","200","200","200"
"328","200","200","200"
"329","200","200","200"
"330","200","200","200"
"331","200","200","200"
"332","200","200","200"
"333","200","200","200"
"334","200","200","200"
"335","200","200","200"
"336","200","200","200"
"337","200","200","200"
"338","200","200","200"
"339","200","200","200"
"340","200","200","200"
"341","200","200","200"
"342","200","200","200"
"343","200","200","200"
"344","200","200","200"
"345","200","200","200"
"346","200","200","200"
"347","200","200","200"
"348","200","200","200"
"349","200","200","200"
"350","200","200","200"
"351","200","200","200"
"352","200","200","200"
"353","200","200","200"
"354","200","200","200"
"355","200","200","200"
"356","200","200","200"
"357","200","200","200"
"358","200","200","200"
"359","200","200","200"
"360","200","200","200"
"361","200","200","200"
"362","200","200","200"
"363","200","200","200"
"364","200","200","200"
"365","200","200","200"
"366","200","200","200"
"367","200","200","200"
"368","200","200","200"
"369","200","200","200"
"370","200","200","200"
"371","200","200","200"
"372","200","200","200"
"373","200","200","200"
"374","200","200","200"
"375","200","200","200"
"376","200","200","200"
"377","200","200","200"
"378","200","200","200"
"379","200","200","200"
"380","200","200","200"
"381","200","200","200"
"382","200","200","200"
"383","200","200","200"
"384","200","200","200"
"385","200","200","200"
"386","200","200","200"
"387","200","200","200"
"388","200","200","200"
"389","200","200","200"
"390","200","200","200"
"391","200","200","200"
"392","200","200","200"
"393","200","200","200"
"394","200","200","200"
"395","200","200","200"
"396","200","200","200"
"397","200","200","200"
"398","200","200","200"
"399","200","200","200"
"400","200","200","200"
"401","200","200","200"
"402","200","200","200"
"403","200","200","200"
"404","200","200","200"
"405","200","200","200"
"406","200","200","200"
"407","200","200","200"
"408","200","200","200"
"409","200","200","200"
"410","200","200","200"
"411","200","200","200"
"412","200","200","200"
"413","200","200","200"
"414","200","200","200"
"415","200","200","200"
"416","200","200","200"
"417","200","200","200"
"418","200","200","200"
"419","200","200","200"
"420","200","200","200"
"421","200","200","200"
"422","200","200","200"
"423","200","200","200"
"424","200","200","200"
"425","200","200","200"
"426","200","200","200"
"427","200","200","200"
"428","200","200","200"
"429","200","200","200"
"430","200","200","200"
"431","200","200","200"
"432","200","200","200"
"433","200","200","200"
"434","200","200","200"
"435","200","200","200"
"436","200","200","200"
"437","200","200","200"
"438","200","200","200"
"439","200","200","200"
"440","200","200","200"
"441","200","200","200"
"442","200","200","200"
"443","200","200","200"
"444","200","200","200"
"445","200","200","200"
"446","200","200","200"
"447","200","200","200"
"448","200","200","200"
"449","200","200","200"
"450","200","200","200"
"451","200","200","200"
"452","200","200","200"
"453","200","200","200"
"454","200","200","200"
"455","200","200","200"
"456","200","200","200"
"457","200","200","200"
"458","200","200","200"
"459","200","200","200"
"460","200","200","200"
"461","200","200","200"
"462","200","200","200"
"463","200","200","200"
"464","200","200","200"
"465","200","200","200"
"466","200","200","200"
"467","200","200","200"
"468","200","200","200"
"469","200","200","200"
"470","200","200","200"
"471","200","200","200"
"472","200","200","200"
"473","200","200","200"
"474","200","200","200"
"475","200","200","200"
"476","200","200","200"
"477","200","200","200"
"478","200","200","200"
"479","200","200","200"
"480","200","200","200"
"481","200","200","200"
"482","200","200","200"
"483","200","200","200"
"484","200","200","200"
"485","200","200","200"
"486","200","200","200"
"487","200","200","200"
"488","200","200","200"
"489","200","200","200"
"490","200","200","200"
"491","200","200","200"
"492","200","200","200"
"493","200","200","200"
"494","200","200","200"
"495","200","200","200"
"496","200","200","200"
"497","200","200","200"
"498","200","200","200"
"499","200","200","200"
"500","200","200","200"
"501","200","200","200"
"502","200","200","200"
"503","200","200","200"
"504","200","200","200"
"505","200","200","200"
"506","200","200","200"
"507","200","200","200"
"508","200","200","200"
"509","200","200","200"
"510","200","200","200"
"511","200","200","200"
"512","200","200","200"
"513","200","200","200"
"514","200","200","200"
"515","200","200","200"
"516","200","200","200"
"517","200","200","200"
"518","200","200","200"
"519","200","200","200"
"520","200","200","200"
"521","200","200","200"
"522","200","200","200"
"523","200","200","200"
"524","200","200","200"
"525","200","200","200"
"526","200","200","200"
"527","200","200","200"
"528","200","200","200"
"529","200","200","200"
"530","200","200","200"
"531","200","200","200"
"532","200","200","200"
"533","200","200","200"
"534","200","200","200"
"535","200","200","200"
"536","200","200","200"
"537","200","200","200"
"538","200","200","200"
"539","200","200","200"
"540","200","200","200"
"541","200","200","200"
"542","200","200","200"
"543","200","200","200"
"544","200","200","200"
"545","200","200","200"
"546","200","200","200"
"547","200","200","200"
"548","200","200","200"
"549","200","200","200"
"550","200","200","200"
"551","200","200","200"
"552","200","200","200"
"553","200","200","200"
"554","200","200","200"
"555","200","200","200"
"556","200","200","200"
"557","200","200","200"
"558","200","200","200"
"559","200","200","200"
"560","200","200","200"
"561","200","200","200"
"562","200","200","200"
"563","200","200","200"
"564","200","200","200"
"565","200","200","200"
"566","200","200","200"
"567","200","200","200"
"568","200","200","200"
"569","200","200","200"
"570","200","200","200"
"571","200","200","200"
"572","200","200","200"
"573","200","200","200"
"574","200","200","200"
"575","200","200","200"
"576","200","200","200"
"577","200","200","200"
"578","200","200","200"
"579","200","200","200"
"580","200","200","200"
"581","200","200","200"
"582","200","200","200"
"583","200","200","200"
"584","200","200","200"
"585","200","200","200"
"586","200","200","200"
"587","200","200","200"
"588","200","200","200"
"589","200","200","200"
"590","200","200","200"
"591","200","200","200"
"592","200","200","200"
"593","200","200","200"
"594","200","200","200"
"595","200","200","200"
"596","200","200","200"
"597","200","200","200"
"598","200","200","200"
"599","200","200","200"
"600","200","200","200"
"601","200","200","200"
"602","200","200","200"
"603","200","200","200"
"604","200","200","200"
"605","200","200","200"
"606","200","200","200"
"607","200","200","200"
"608","200","200","200"
"609","200","200","200"
"610","200","200","200"
"611","200","200","200"
"612","200","200","200"
"613","200","200","200"
"614","200","200","200"
"615","200","200","200"
"616","200","200","200"
"617","200","200","200"
"618","200","200","200"
"619","200","200","200"
"620","200","200","200"
"621","200","200","200"
"622","200","200","200"
"623","200","200","200"
"624","200","200","200"
"625","200","200","200"
"626","200","200","200"
"627","200","200","200"
"628","200","200","200"
"629","200","200","200"
"630","200","200","200"
"631","200","200","200"
"632","200","200","200"
"633","200","200","200"
"634","200","200","200"
"635","200","200","200"
"636","200","200","200"
"637","200","200","200"
"638","200","200","200"
"639","200","200","200"
"640","200","200","200"
"641","200","200","200"
"642","200","200","200"
"643","200","200","200"
"644","200","200","200"
"645","200","200","200"
"646","200","200","200"
"647","200","200","200"
"648","200","200","200"
"649","200","200","200"
"650","200","200","200"
"651","200","200","200"
"652","200","200","200"
"653","200","200","200"
"654","200","200","200"
"655","200","200","200"
"656","200","200","200"
"657","200","200","200"
"658","200","200","200"
"659","200","200","200"
"660","200","200","200"
"661","200","200","200"
"662","200","200","200"
"663","200","200","200"
"664","200","200","200"
"665","200","200","200"
"666","200","200","200"
"667","200","200","200"
"668","200","200","200"
"669","200","200","200"
"670","200","200","200"
"671","200","200","200"
"672","200","200","200"
"673","200","200","200"
"674","200","200","200"
"675","200","200","200"
"676","200","200","200"
"677","200","200","200"
"678","200","200","200"
"679","200","200","200"
"680","200","200","200"
"681","200","200","200"
"682","200","200","200"
"683","200","200","200"
"684","200","200","200"
"685","200","200","200"
"686","200","200","200"
"687","200","200","200"
"688","200","200","200"
"689","200","200","200"
"690","200","200","200"
"691","200","200","200"
"692","200","200","200"
"693","200","200","200"
"694","200","200","200"
"695","200","200","200"
"696","200","200","200"
"697","200","200","200"
"698","200","200","200"
"699","200","200","200"
"700","200","200","200"
"701","200","200","200"
"702","200","200","200"
"703","200","200","200"
"704","200","200","200"
"705","200","200","200"
"706","200","200","200"
"707","200","200","200"
"708","200","200","200"
"709","200","200","200"
"710","200","200","200"
"711","200","200","200"
"712","200","200","200"
"713","200","200","200"
"714","200","200","200"
"715","200","200","200"
"716","200","200","200"
"717","200","200","200"
"718","200","200","200"
"719","200","200","200"
"720","200","200","200"
"721","200","200","200"
"722","200","200","200"
"723","200","200","200"
"724","200","200","200"
"725","200","200","200"
"726","200","200","200"
"727","200","200","200"
"728","200","200","200"
"729","200","200","200"
"730","200","200","200"
"731","200","200","200"
"732","200","200","200"
"733","200","200","200"
"734","200","200","200"
"735","200","200","200"
"736","200","200","200"
"737","200","200","200"
"738","200","200","200"
"739","200","200","200"
"740","200","200","200"
"741","200","200","200"
"742","200","200","200"
"743","200","200","200"
"744","200","200","200"
"745","200","200","200"
"746","200","200","200"
"747","200","200","200"
"748","200","200","200"
"749","200","200","200"
"750","200","200","200"
"751","200","200","200"
"752","200","200","200"
"753","200","200","200"
"754","200","200","200"
"755","200","200","200"
"756","200","200","200"
"757","200","200","200"
"758","200","200","200"
"759","200","200","200"
"760","200","200","200"
"761","200","200","200"
"762","200","200","200"
"763","200","200","200"
"764","200","200","200"
"765","200","200","200"
"766","200","200","200"
"767","200","200","200"
"768","200","200","200"
"769","200","200","200"
"770","200","200","200"
"771","200","200","200"
"772","200","200","200"
"773","200","200","200"
"774","200","200","200"
"775","200","200","200"
"776","200","200","200"
"777","200","200","200"
"778","200","200","200"
"779","200","200","200"
"780","200","200","200"
"781","200","200","200"
"782","200","200","200"
"783","200","200","200"
"784","200","200","200"
"785","200","200","200"
"786","200","200","200"
"787","200","200","200"
"788","200","200","200"
"789","200","200","200"
"790","200","200","200"
"791","200","200","200"
"792","200","200","200"
"793","200","200","200"
"794","200","200","200"
"795","200","200","200"
"796","200","200","200"
"797","200","200","200"
"798","200","200","200"
"799","200","200","200"
"800","200","200","200"
"801","200","200","200"
"802","200","200","200"
"803","200","200","200"
"804","200","200","200"
"805","200","200","200"
"806","200","200","200"
"807","200","200","200"
"808","200","200","200"
"809","200","200","200"
"810","200","200","200"
"811","200","200","200"
"812","200","200","200"
"813","200","200","200"
"814","200","200","200"
"815","200","200","200"
"816","200","200","200"
"817","200","200","200"
"818","200","200","200"
"819","200","200","200"
"820","200","200","200"
"821","200","200","200"
"822","200","200","200"
"823","200","200","200"
"824","200","200","200"
"825","200","200","200"
"826","200","200","200"
"827","200","200","200"
"828","200","200","200"
"829","200","200","200"
"830","200","200","200"
"831","200","200","200"
"832","200","200","200"
"833","200","200","200"
"834","200","200","200"
"835","200","200","200"
"836","200","200","200"
"837","200","200","200"
"838","200","200","200"
"839","200","200","200"
"840","200","200","200"
"841","200","200","200"
"842","200","200","200"
"843","200","200","200"
"844","200","200","200"
"845","200","200","200"
"846","200","200","200"
"847","200","200","200"
"848","200","200","200"
"849","200","200","200"
"850","200","200","200"
"851","200","200","200"
"852","200","200","200"
"853","200","200","200"
"854","200","200","200"
"855","200","200","200"
"856","200","200","200"
"857","200","200","200"
"858","200","200","200"
"859","200","200","200"
"860","200","200","200"
"861","200","200","200"
"862","200","200","200"
"863","200","200","200"
"864","200","200","200"
"865","200","200","200"
"866","200","200","200"
"867","200","200","200"
"868","200","200","200"
"869","200","200","200"
"870","200","200","200"
"871","200","200","200"
"872","200","200","200"
"873","200","200","200"
"874","200","200","200"
"875","200","200","200"
"876","200","200","200"
"877","200","200","200"
"878","200","200","200"
"879","200","200","200"
"880","200","200","200"
"881","200","200","200"
"882","200","200","200"
"883","200","200","200"
"884","200","200","200"
"885","200","200","200"
"886","200","200","200"
"887","200","200","200"
"888","200","200","200"
"889","200","200","200"
"890","200","200","200"
"891","200","200","200"
"892","200","200","200"
"893","200","200","200"
"894","200","200","200"
"895","200","200","200"
"896","200","200","200"
"897","200","200","200"
"898","200","200","200"
"899","200","200","200"
"900","200","200","200"
"901","200","200","200"
"902","200","200","200"
"903","200","200","200"
"904","200","200","200"
"905","200","200","200"
"906","200","200","200"
"907","200","200","200"
"908","200","200","200"
"909","200","200","200"
"910","200","200","200"
"911","200","200","200"
"912","200","200","200"
"913","200","200","200"
"914","200","200","200"
"915","200","200","200"
"916","200","200","200"
"917","200","200","200"
"918","200","200","200"
"919","200","200","200"
"920","200","200","200"
"921","200","200","200"
"922","200","200","200"
"923","200","200","200"
"924","200","200","200"
"925","200","200","200"
"926","200","200","200"
"927","200","200","200"
"928","200","200","200"
"929","200","200","200"
"930","200","200","200"
"931","200","200","200"
"932","200","200","200"
"933","200","200","200"
"934","200","200","200"
"935","200","200","200"
"936","200","200","200"
"937","200","200","200"
"938","200","200","200"
"939","200","200","200"
"940","200","200","200"
"941","200","200","200"
"942","200","200","200"
"943","200","200","200"
"944","200","200","200"
"945","200","200","200"
"946","200","200","200"
"947","200","200","200"
"948","200","200","200"
"949","200","200","200"
"950","200","200","200"
"951","200","200","200"
"952","200","200","200"
"953","200","200","200"
"954","200","200","200"
"955","200","200","200"
"956","200","200","200"
"957","200","200","200"
"958","200","200","200"
"959","200","200","200"
"960","200","200","200"
"961","200","200","200"
"962","200","200","200"
"963","200","200","200"
"964","200","200","200"
"965","200","200","200"
"966","200","200","200"
"967","200","200","200"
"968","200","200","200"
"969","200","200","200"
"970","200","200","200"
"971","200","200","200"
"972","200","200","200"
"973","200","200","200"
"974","200","200","200"
"975","200","200","200"
"976","200","200","200"
"977","200","200","200"
"978","200","200","200"
"979","200","200","200"
"980","200","200","200"
"981","200","200","200"
"982","200","200","200"
"983","200","200","200"
"984","200","200","200"
"985","200","200","200"
"986","200","200","200"
"987","200","200","200"
"988","200","200","200"
"989","200","200","200"
"990","200","200","200"
"991","200","200","200"
"992","200","200","200"
"993","200","200","200"
"994","200","200","200"
"995","200","200","200"
"996","200","200","200"
"997","200","200","200"
"998","200","200","200"
"999","200","200","200"
"1000","13","13","13"
"1001","13","13","13"
"1002","11","11","11"
"1003","12","12","12"
"1004","13","13","13"
"1005","12","12","12"
"1006","12","12","12"
"1007","11","11","11"
"1008","12","12","12"
"1009","11","11","11"
"1010","11","11","11"
"1011","11","11","11"
"1012","11","11","11"
"1013","12","12","12"
"1014","13","13","13"
"1015","11","11","11"
"1016","12","12","12"
"1017","10","10","10"
"1018","13","13","13"
"1019","13","13","13"
"1020","10","10","10"
"1021","11","11","11"
"1022","11","11","11"
"1023","11","11","11"
"1024","11","11","11"
"1025","12","12","12"
"1026","10","10","10"
"1027","11","11","11"
"1028","12","12","12"
"1029","12","12","12"
"1030","11","11","11"
"1031","11","11","11"
"1032","12","12","12"
"1033","12","12","12"
"1034","10","10","10"
"1035","11","11","11"
"1036","13","13","13"
"1037","12","12","12"
"1038","12","12","12"
"1039","12","12","12"
"1040","11","11","11"
"1041","10","10","10"
"1042","13","13","13"
"1043","12","12","12"
"1044","10","10","10"
"1045","11","11","11"
"1046","11","11","11"
"1047","12","12","12"
"1048","11","11","11"
"1049","11","11","11"
"1050","12","12","12"
"1051","12","12","12"
"1052","11","11","11"
"1053","11","11","11"
"1054","12","12","12"
"1055","11","11","11"
"1056","13","13","13"
"1057","12","12","12"
"1058","10","10","10"
"1059","12","12","12"
"1060","12","12","12"
"1061","11","11","11"
"1062","11","11","11"
"1063","11","11","11"
"1064","11","11","11"
"1065","12","12","12"
"1066","10","10","10"
"1067","10","10","10"
"1068","11","11","11"
"1069","12","12","12"
"1070","12","12","12"
"1071","13","13","13"
"1072","13","13","13"
"1073","11","11","11"
"1074","12","12","12"
"1075","11","11","11"
"1076","11","11","11"
"1077","12","12","12"
"1078","11","11","11"
"1079","12","12","12"
"1080","11","11","11"
"1081","10","10","10"
"1082","12","12","12"
"1083","11","11","11"
"1084","11","11","11"
"1085","12","12","12"
"1086","10","10","10"
"1087","13","13","13"
"1088","12","12","12"
"1089","10","10","10"
"1090","12","12","12"
"1091","12","12","12"
"1092","13","13","13"
"1093","12","12","12"
"1094","10","10","10"
"1095","12","12","12"
"1096","11","11","11"
"1097","12","12","12"
"1098","12","12","12"
"1099","12","12","12"
"1100","12","12","12"
"1101","11","11","11"
"1102","12","12","12"
"1103","13","13","13"
"1104","11","11","11"
"1105","12","12","12"
"1106","12","12","12"
"1107","12","12","12"
"1108","11","11","11"
"1109","11","11","11"
"1110","11","11","11"
"1111","12","12","12"
"1112","12","12","12"
"1113","12","12","12"
"1114","12","12","12"
"1115","11","11","11"
"1116","11","11","11"
"1117","13","13","13"
"1118","12","12","12"
"1119","11","11","11"
"1120","11","11","11"
"1121","10","10","10"
"1122","13","13","13"
"1123","12","12","12"
"1124","12","12","12"
"1125","10","10","10"
"1126","11","11","11"
"1127","13","13","13"
"1128","11","11","11"
"1129","12","12","12"
"1130","10","10","10"
"1131","13","13","13"
"1132","12","12","12"
"1133","11","11","11"
"1134","13","13","13"
"1135","12","12","12"
"1136","13","13","13"
"1137","11","11","11"
"1138","10","10","10"
"1139","12","12","12"
"1140","10","10","10"
"1141","13","13","13"
"1142","10","10","10"
"1143","11","11","11"
"1144","13","13","13"
"1145","11","11","11"
"1146","12","12","12"
"1147","12","12","12"
"1148","11","11","11"
"1149","13","13","13"
"1150","12","12","12"
"1151","11","11","11"
"1152","12","12","12"
"1153","13","13","13"
"1154","12","12","12"
"1155","10","10","10"
"1156","12","12","12"
"1157","12","12","12"
"1158","13","13","13"
"1159","13","13","13"
"1160","12","12","12"
"1161","11","11","11"
"1162","12","12","12"
"1163","12","12","12"
"1164","12","12","12"
"1165","12","12","12"
"1166","13","13","13"
"1167","12","12","12"
"1168","11","11","11"
"1169","12","12","12"
"1170","12","12","12"
"1171","10","10","10"
"1172","11","11","11"
"1173","13","13","13"
"1174","11","11","11"
"1175","11","11","11"
"1176","11","11","11"
"1177","10","10","10"
"1178","11","11","11"
"1179","11","11","11"
"1180","13","13","13"
"1181","11","11","11"
"1182","11","11","11"
"1183","11","11","11"
"1184","11","11","11"
"1185","11","11","11"
"1186","10","10","10"
"1187","12","12","12"
"1188","11","11","11"
"1189","11","11","11"
"1190","11","11","11"
"1191","11","11","11"
"1192","12","12","12"
"1193","12","12","12"
"1194","11","11","11"
"1195","12","12","12"
"1196","12","12","12"
"1197","11","11","11"
"1198","12","12","12"
"1199","11","11","11"
"1200","12","12","12"
"1201","13","13","13"
"1202","10","10","10"
"1203","11","11","11"
"1204","13","13","13"
"1205","11","11","11"
"1206","12","12","12"
"1207","10","10","10"
"1208","11","11","11"
"1209","12","12","12"
"1210","11","11","11"
"1211","12","12","12"
"1212","12","12","12"
"1213","13","13","13"
"1214","12","12","12"
"1215","11","11","11"
"1216","12","12","12"
"1217","11","11","11"
"1218","13","13","13"
"1219","11","11","11"
"1220","12","12","12"
"1221","11","11","11"
"1222","13","13","13"
"1223","12","12","12"
"1224","11","11","11"
"1225","11","11","11"
"1226","12","12","12"
"1227","11","11","11"
"1228","11","11","11"
"1229","13","13","13"
"1230","14","14","14"
"1231","13","13","13"
"1232","12","12","12"
"1233","13","13","13"
"1234","13","13","13"
"1235","11","11","11"
"1236","11","11","11"
"1237","12","12","12"
"1238","12","12","12"
"1239","13","13","13"
"1240","12","12","12"
"1241","12","12","12"
"1242","13","13","13"
"1243","12","12","12"
"1244","12","12","12"
"1245","12","12","12"
"1246","11","11","11"
"1247","13","13","13"
"1248","12","12","12"
"1249","12","12","12"
"1250","11","11","11"
"1251","11","11","11"
"1252","11","11","11"
"1253","12","12","12"
"1254","12","12","12"
"1255","10","10","10"
"1256","11","11","11"
"1257","13","13","13"
"1258","12","12","12"
"1259","13","13","13"
"1260","12","12","12"
"1261","12","12","12"
"1262","13","13","13"
"1263","11","11","11"
"1264","12","12","12"
"1265","13","13","13"
"1266","13","13","13"
"1267","11","11","11"
"1268","13","13","13"
"1269","12","12","12"
"1270","11","11","11"
"1271","11","11","11"
"1272","12","12","12"
"1273","13","13","13"
"1274","11","11","11"
"1275","13","13","13"
"1276","12","12","12"
"1277","11","11","11"
"1278","13","13","13"
"1279","12","12","12"
"1280","12","12","12"
"1281","12","12","12"
"1282","12","12","12"
"1283","13","13","13"
"1284","13","13","13"
"1285","11","11","11"
"1286","12","12","12"
"1287","11","11","11"
"1288","12","12","12"
"1289","12","12","12"
"1290","12","12","12"
"1291","13","13","13"
"1292","12","12","12"
"1293","14","14","14"
"1294","12","12","12"
"1295","12","12","12"
"1296","13","13","13"
"1297","12","12","12"
"1298","12","12","12"
"1299","13","13","13"
"1300","12","12","12"
"1301","11","11","11"
"1302","13","13","13"
"1303","11","11","11"
"1304","11","11","11"
"1305","13","13","13"
"1306","13","13","13"
"1307","13","13","13"
"1308","13","13","13"
"1309","13","13","13"
"1310","13","13","13"
"1311","13","13","13"
"1312","11","11","11"
"1313","13","13","13"
"1314","12","12","12"
"1315","12","12","12"
"1316","13","13","13"
"1317","11","11","11"
"1318","13","13","13"
"1319","13","13","13"
